img_id, ans, marks
IMG01, ଇଂଗରେଜକଂ ସାମରାଜ୍ୟ କୁ ସୁଦୃଢ କରିବା ପାଇଁ ୱେଲସେଲି  ଏକ ପ୍ରଥା ଆରଂଭ କରିଥିଲେ ଜାହର ନାମ ଥିଲା ଅଧିନତା ମୁଳକ ମିତ୍ରତା ଓ ସାମତଂ ସଂଧୀ| ଜେଉଁ ଦେସିୟ ରାଜା ଏହାକୁ ଗ୍ରହଣ କରତିଂ ସେମାନେ ଇଂଗରେଜ ସରକାରକଂ ବିନା ଅନୂମତିରେ  ଅନ୍ୟ ଦେଶିୟ ବା ବିଦେଶୀ ରାଜ୍ୟ ସହ ସବଂଧ ରଖିପାରିବେ ନାହିଂ|ସତ୍ର ଅନୁଜାଇ ସେହି ରାଜା କୁଂ ଦଲେ ଇଂଗରେଜ ସୈନ୍ୟକୁ ନିଜ ରାଜ୍ୟ ରେ ଦରମା ଦେଇ ରଖିବେ| ଯଦି ଅର୍ଥ ଦବାକୁ ସାମର୍ଥୟ୍ ନଥିବେ ଇଂଗରେଜ ମାନକ୍କୁଂ ତାକ୍କଂ ରାଜ୍ୟର ଅର୍ଧେକ ଅଂଶ ଦେବାକୁ ପଦିବ| ହାଇଦ୍ରାବାଦର ନବାବ ଓ ଅଯୋଧ୍ୟାର ନିଜାମ ଏହାକୁ ଗ୍ରହଣ କରିଥିଲେ| ପରେ ସିନଧିଆ ଓ ଭୋସଲାର ଶାସକ ଏହି ସଂଧି ଗ୍ରହଣ କାଲେ| ଏହାପରେ ଜୋଧପୁର  ଜୟପୁର ରାଜପୁତାନା ପରି ଅନେକ ରାଜ୍ୟର ରାଜା ଏହି ସଂଧି ଗ୍ରହଣ କଲେ|, 5
IMG02, ଇଂଗରେଜକଂ ପ୍ରଭାବିତ ରାଜ୍ୟ ବିସ୍ତାର ପାଇଁ ରାଜ୍ୟାଭିଳାଷି ୱେଲସେଲି ସାମ୍ଂତ ସଂଧି ପ୍ରଥାର ପ୍ରଣୟନ କରିଥିଲେ| ଏହାର ନାମ ହଉଛି ଅଦିନତାମୁଳକ ମିତ୍ରତା| ଉକ୍ତ ସାମ୍ଂତ ସଂଧିର ସ୍ରତାବଳି ହେଲା ଜେଉଁ ଦେଶିଅ ରାଜ୍ୟ ଗୁଡିକ ଏହାକୁ ଗ୍ରହଣ କରିବେ ସେମାନେ ଇଂଗରେଜମାନକଂ ମିତ୍ର ହୋଇ ତାକଂ ଅଧିନତା ସ୍ୱିକାର କରିବେ| ଇଂଗରେଜକଂ ଅନୁସାରେ ସେମାନେ କୌଣସି ଦେଶିଅ ରାଜା ସହ ସଂପର୍କ ରଖିପାରିବେନି| ଜେଉଁମାନେ ଏହାକୁ ଗ୍ରହଣ କରିବେ ସେମାନେ ନିଜପଟରେ ଦଳେ ଇଂଗରେଜ ସୈନିକକୁଂ ରଖିବେ| ଜଦି ସେମାନେ ଏଥିପାଇଁ ଅସମର୍ଥ ହୁଅଁତି ତେବେ ସେମାନେ ନିଜ ରାଜ୍ୟର କିଛି ଅଂସ ଇଂଗରେଜକୁଂ ଦେବେ| ପ୍ରଥମ ହାଇଦ୍ରାବାଦର ନିଜାମ ଏହାକୁ ଗ୍ରହଣ କରିଥିଲେ| ଏହାପରେ ଅଯୋଧ୍ୟାର ନିଜାମ ଏହାକୁ ଗ୍ରହଣ କରି ନିଜ ରାଜ୍ୟର ଏକ ଅଂସ ଇଂଗରେଜକୁଂ ଦେଇଥିଲେ| ରାଜପୁତାନା ଅଂଚଳର ମେୱାର  ଜୟପୁର ଅଂଚଳର ରାଜା ମାନେ ଏହି ସାମ୍ଂତ ସଂଧି ପ୍ରଥାକୁ ଗ୍ରହଣ କରି ନିଜ ଗାଦିର ଏକ ଅଂଶ ଇଂଗରେଜକୁଂ ଦେଲେ|, 5
IMG03, NAN,3
IMG04, ସାମତଂ ସଂଧି ପଂରଥା ୱେଲସେଲି ପ୍ରଣୟନ କରିଥିଲେ| ଏହାର ଅନ୍ୟ ନାମ ଥିଲା ଅଧିନତାମୁଳକ ମିତ୍ରତା| ସେ ଭାରତରେ ସାମରାଜ୍ୟ ବିସ୍ତାର କରିବା ଉଦ୍ଦେସ୍ୟରେ ଏହା ପ୍ରଣୟନ କରିଥିଲେ| ଏହାର ସର୍ତଗୁଦିକ ଥିଲା ଜେଉଁ ଦେସିଅ ରାଜା ଏହାକୁ ଗ୍ରହଣ କରିବେ ସେମାନେ ଇଂଗରେଜମାନକଂ ମିତ୍ର ହୋଇ ଅଧିନତା ସ୍ୱିକାର କାରିବେ| ଇଂଗରେଜମାନକଂ ବିନା ଅନୁମତିରେ ସେମାନେ କୌଣସି ଦେସିଅ ଓ ବୈଦେସିକ ସଂପର୍କ ରଖିପାରିବେ ନାହିଁ|, 4
IMG05, ସାମନ୍ତ ସନ୍ଧି ଲର୍ଡ଼ ମାକଏଲେକଂ ଦ୍ୱାରା ପ୍ରଣୀତ ହୋଇଥିଲା| ସେ ନିଜର ସ୍ୱାର୍ଥ ହାସଲ ନିମନ୍ତେ ଏହି ନୀତିକୁ ପ୍ରଣିତ କରିଥିଲେ| ଏହି ନୀତିକୁ ଅବଲମ୍ବନ କରିବାକୁ ହେଲେ ଇଂଗ୍ରେଜ଼ ମାନେ ଏହା ପ୍ରତି କିଛି ସର୍ତ ମଧ୍ୟ ରଖିଥିଲେ| ସେହି ସର୍ତ ଗୁଡିକ ହେଲା ଯଦି କୌଣସି ଶଯ୍ୟା ର ରାଜା ସେହି ଅଂଚଳ ମାନଂକର କିଛି ଅଂଶ ଇଂଗ୍ରେଜ଼ ମାନଂକୁ ଦେବାକୁ ହବ| ଏନ୍ଗେଜ଼ ମନାକର କିଛି ସଂୟ ବାହିନୀ କୁ ନିଜର ରାଜ୍ୟରେ ରଖି ତାଙ୍କର ସୁଖ ସୁବିଧା କୁ ମଧ୍ୟ ଆଖିଦେବାକୁ ପଡିବ|, 1
IMG06, ଭାରତରେ ଇଂଗ୍ରେଜ଼ ମାନଂକ ସାମ୍ରାଜ୍ୟ ବିସ୍ତାର ପାଇଁ ୱେଲସେଲି ଏକ ପ୍ରଥା ପ୍ରଚଳନ କଲେ ତାହା ସମନ୍ତି ସନ୍ଧି ଅଧୀନତା ମୂଳକ ମିତ୍ରତା ନାମରେ ପରିଚିତ| ଏହି ସର୍ତ ଅନୂଯାୟ ଇଂଗ୍ରେଜ଼ ମାନଂକ ତଳେ ସଂୟ ମାନଂକୁ ନିଜ ରଂଜୟ ରେ ରଖି ତାଲିମ ଦେବା ଓ ତାଙ୍କ ପାଇଁ ଅର୍ଥ ଖର୍ଚ କରିବେ| ଏହି ପ୍ରଥା ଅନୁସାରେ ଗ୍ରହଣ କରି ରାଜ୍ୟର ରାଜା କୌଣସି କୌଣସି ଦେଶୀୟ କିମ୍ବା ବିଦେଶିକ ଶକ୍ତି ସହ ସମ୍ପର୍କ ରଖି ପାରିବେ ନାହିଁ| ଏହି ସବୁ ନକରିପାରିଲେ ନିଜ ରାଜ୍ୟର କେତେକ ଅଂଶ ଇଂଗ୍ରେଜ଼ ମାନଂକୁ ଦେବାକୁ ହବ| ଏହାକୁ ପ୍ରଥମେ ହାଇଦ୍ରାବାଦର ନିଜାମ ତାପରେ ସୁଜାଉ ଦୱାଲା ଗ୍ରହଣ କରି ନିଜ ରାଜ୍ୟର କେତେକ ଅଂଶ ଦେଇଥିଲେ| ତାପରେ ଭୋନ୍ସଲା ସସିନ୍ଧିଆ ଆଦି ମାନେ ଗ୍ରହଣ କରି ଥିଲେ|, 5
IMG07, ୱେଲସେଲି ଇଂଗ୍ରେଜ଼ ଶାସନର ପ୍ରସାର ପାଇଁଏକ ପ୍ରଥା ପ୍ରଣୟନ କରିଥିଲେ ଏହା କୁ ସାମନ୍ତ ସନ୍ଧି ପ୍ରଥା ବା ଅଧୀନତା ମୂଳକ ମିତ୍ରତା କୁହାଯାଏ| ଏହି ସନ୍ଧିର ସର୍ତ ଥିଲା ଜେ ଯୌନ ରାଜ୍ୟ ର ରାଜା ଏହି ସନ୍ଧି କୁ ଗ୍ରହଣ କରିବେ ସେ ଇଂଗ୍ରେଜ଼ ମାନଂକ ମିତ୍ର ହୋଇ  ଅଧୀନତା ସ୍ୱୀକାର କରିବେ| ଇଂଗ୍ରେଜ଼ନ୍କ ବିନ ଅନୁମତିରେ ସେ କୌଣସି ଦେଶୀୟ କିମ୍ବା ବିଦେଶୀ ଶକ୍ତି ସହ ସମ୍ପର୍କ ରାଖୀ ପାରିବେ ନାହିଁ| ସେମାନେ ନିଜ ସର୍ତରେ ଦଳେ ଇଂଗ୍ରେଜ଼ ସେନା ନିଜ ରାଜ୍ୟ ରେ ରଖିବେ ଯଦି ସେମାନେ ଇଂଗ୍ରେଜ଼ ସୈନିକଙ୍କ ଦରମା ଦେବାରେ ଅଖ୍ୟମ ରହିବେ ତେବେ ସେ ନିଜ ରାଜ୍ୟ ର କିଛି ଅଂଶ ଇଂଗ୍ରେଜ଼ ମାନଂକୁ ହସ୍ତାନ୍ତର କରିଦେବେ| ପ୍ରଥମ ହୋଇ ହାଇଦ୍ରାବାଦର ନିଜାମ ଏହି ସନ୍ଧି ଗ୍ରହଣ କରିଥିଲେ| ପରେ ଅଯୋଧ୍ୟାର ନବାବ ଏହି ସନ୍ଧି ଗ୍ରହଣ କରି କିଛି ଅଂଶ ନିଜ ରାଜ୍ୟର ଇଂଗ୍ରେଜ଼କୁ ହସ୍ତାନ୍ତର କରିଥିଲେ|, 5
IMG08, ସାମନ୍ତ ସନ୍ଧି ବ୍ରିଟିଶ ଗଭରନର ଲର୍ଡ଼ ନର୍ଥ କରିଥିଲେ| ସେ କୃଷକ ମାନେ ମୃତ୍ୟୁବରଣ କରିବା ପରେ ସେମାନଙ୍କ ଚାଷ ଜମି ଇଂଗ୍ରେଜ଼ମାନଂକ ହାତକୁ ହସ୍ତାନ୍ତର ହେବ| ସୈନ୍ୟମାନେ ମୃତ୍ୟୁବରଣ କରିଥିଲେ ସେମାନଙ୍କର ପରିବାରକୁ ଖେତୀପୁରାଣ ବାବଦକୁ ଦିୟା ଯିବା| କୃଷକ ମାନେ ଯେଉଁ ଫସଲ ଉତ୍ପାଦନ କରିବେ ସେମାନେ ଗୋଟିଏ ଭାଗ ରଖି ଅନ୍ୟ ସମସ୍ତ ଭାଗ ଇଂଗ୍ରେଜ଼ମାନଂକୁ ଦେବେ ବୋଲି ନିୟମ ଥିଲା| ହାଇଦ୍ରାବାଦର ନିଜାମ ଯୟପୁର ଉଦୟପୁର ସମ୍ବଲପୁର ରାଜା ମାନେ ଏହି ପ୍ରଥାକୁ ଗ୍ରହଣ କରିଥିଲେ|, 1
IMG09, ଭାରତୀୟ ରାଜ୍ୟ ଗୁଡିକ ଉପରେ ଇଂଗ୍ରେଜ଼ମାନଂକ ପ୍ରଭାବ ବିସ୍ତାର ପାଇଁ ୱେଲସେଲି ସାମନ୍ତ ସନ୍ଧି ନାମକ ଏକ ପ୍ରଥା ପ୍ରଚଳନ କରିଥିଲେ| ଏହି ପ୍ରଥା ଅନୁଯାଇ ଯେଉଁ ଦେଶୀୟ ରାଜ୍ୟ ଗୁଡିକର ରାଜା ଏହି ସାମନ୍ତ ସନ୍ଧି ପ୍ରଥା ଗ୍ରହଣ କରିବେ ସେମାନେ ଇଂଗ୍ରେଜ଼ମାନଂକ ସହ ମିତ୍ର ହୋଇ ଅଧୀନତା ସ୍ୱୀକାର କରିବେ| ସେମାନେ ଇଂଗ୍ରେଜ଼ମାନଂକ ନ ଅନୁମତି ନେଇ ଦେଶୀୟ ବା ବିଦେଶୀ ଶକ୍ତି ସହ କୌଣସି ସମ୍ପର୍କ ରଖିପାରିବେ ନାହିଁ| , 3
IMG10, ସାମନ୍ତ ସନ୍ଧି ଗ୍ରହଣ କରିଥିବା ରାଜ୍ୟ ନିଜ ଖର୍ଚ୍ଚରେ ଦଳେ ଇଂଗ୍ରେଜ଼ ସୈନ୍ୟ ନିଜ ରାଜ୍ୟରେ ରଖିବେ| ସୈନ୍ୟ ମାନଙ୍କର ଖର୍ଚ୍ଚ ଦେବାକୁ ଅସମର୍ଥ ହେଲେ ସେହି ଖର୍ଚ ବାବଦକୁ ଏକ ଅଂଶ ରାଜ୍ୟ ଦେବେ| ପ୍ରଥମେ ହାଇଦ୍ରାବାଦର ରାଜା ଏହାକୁ ଗ୍ରହଣ କରି ଥିଲେ ଓ ପରେ ଅଯୋଧ୍ୟା ରାଜା ଏହାକୁ ଗ୍ରହଣ କରି ନିଜ ରାଜ୍ୟର ଏକ ଅଂଶ ଇଂଗ୍ରେଜ଼ ମାନଂକୁ ଦେଇଥିଲେ|, 2
